identificador,tienda,marca,ram,procesador,almacenamiento,precio_raw,ram_gbs,categoria,id_registro_unico,marca_cat
Lenovo ThinkPad L14 Gen 2 i5-1135G7 8GB DDR4 256GB SSD 14″ FHD Win 10 Pro,opcstore.cl,Lenovo,8GB,"Ir directamente al contenido
Lu a Vi de 09:00 a 13:00 y 14:30 a 18:00 hrs. / Fono: 65 248 4635 / Whatsapp: +56 9 74996339 / Email:contacto@opcstore.cl
Comprar
Búsqueda
TIENDA
NOTEBOOKS
ALL IN ONE
Modo oscuro
Off
Carrito
TIENDA
NOTEBOOKS
ALL IN ONE
DESKTOP
MONITORES
REACONDICIONADOS
TABLETS
OUTLET
PROMOCIONES
OPEN BOX
ACCESORIOS
SERVIDORES
Contáctanos al
+56 9 74996339
Abrir elemento multimedia 1 en vista de galería
Descripción
DESCRIPCIÓN Y ESPECIFICACIONES
El Lenovo ThinkPad L14 Gen 2 (P/N 20X2S8V100) es un portátil corporativo pensado para profesionales y pymes que necesitan un equipo equilibrado en rendimiento, seguridad y conectividad. Equipado con un Intel® Core™ i5-1135G7, 8 GB de memoria en configuración 1×8 DDR4-3200 y un SSD 256 GB PCIe OPAL2, ofrece tiempos de arranque rápidos, buena respuesta en multitarea y protección adicional de datos a nivel de unidad.
Su pantalla 14″ Full HD (1920×1080) proporciona una visualización nítida y cómoda para jornadas de oficina; la cámara 720p HD con micrófonos dual-array facilita videollamadas claras. Para conectividad incluye Wi-Fi 6 (MediaTek MT7921 2×2) y Bluetooth 5.0, además de puerto Ethernet RJ-45 para redes cableadas. El equipo dispone de un conjunto completo de puertos (USB-A, USB-C con DP/PD, HDMI, lector microSD) y funciones de seguridad corporativa (Kensington lock, OPAL2), lo que lo hace ideal para despliegues empresariales y trabajadores móviles que necesitan fiabilidad y facilidad de gestión. Viene con Windows 10 Pro 64-bits y 6meses de garantía.   
  Característica Descripción
Part Number 20X2S8V100
Modelo Lenovo ThinkPad L14 Gen 2
Procesador Intel® Core™ i5-1135G7
Memoria RAM 8 GB DDR4-3200 (1 × 8 GB)
Almacenamiento 256 GB SSD M.2 PCIe (OPAL2 — cifrado de unidad compatible)
Pantalla 14.0″ Full HD (1920 × 1080) IPS, antirreflejo
Cámara 720p HD con Dual Array Microphone
Gráficos Intel® UHD Graphics 
Conectividad inalámbrica MediaTek Wi-Fi 6 MT7921 2×2 (802.11ax) • Bluetooth® 5.0
Conectividad cableada Ethernet RJ-45 Gigabit (Wake-on-LAN soportado)
Puertos 2 × USB-C (DP/PD/USB) • 2 × USB-A 3.1 (Type A) • 1 × HDMI 1.4b • 1 × MicroSD card • Combo Headphone/Mic • Kensington lock
Seguridad / Gestión OPAL2 (SSD), Kensington lock, opciones Intel vPro según SKU
Teclado Teclado en español 
Sistema Operativo Windows 10 Pro 64-bits
Batería Estándar en L14 Gen2
Peso 1.5–1.6 kg estimado
Garantía 6 Meses
  OPCStore
Lenovo ThinkPad L14 Gen 2 i5-1135G7 8GB DDR4 256GB SSD 14″ FHD Win 10 Pro
Precio de venta
$929.990
Precio habitual
$1.359.990
Envío calculado al finalizar la compra.
Para mayor información contáctanos al  Whatsapp: +56974996339 y al correo electrónico: contacto@opcstore.cl
Cantidad:
Reducir cantidad para Lenovo ThinkPad L14 Gen 2 i5-1135G7 8GB DDR4 256GB SSD 14″ FHD Win 10 Pro
Aumentar cantidad para Lenovo ThinkPad L14 Gen 2 i5-1135G7 8GB DDR4 256GB SSD 14″ FHD Win 10 Pro
Agregar al carrito
Comprar Ahora
Envío en 48 Horas
A través de Chilexpress.
Atención personalizada segun tus necesidades
Lu a Vi de 09:00 a 13:00 y 14:30 a 18:00 Hrs.
Calidad asegurada
Contamos con un catalogo amplio para desarrollar tus proyectos.
Garantía y Confianza
Todos nuestros productos cuentan con garantía oficial para que compres con total seguridad y respaldo.
Lo mejor de OpcStore
Revisa Aquí
Lenovo ThinkPad L14 Gen 2 i5-1135G7 8GB DDR4 256GB SSD 14″ FHD Win 10 Pro
Precio de venta
$929.990
Precio habitual
$1.359.990
Envío calculado al finalizar la compra.
Cantidad:
Reducir cantidad para Lenovo ThinkPad L14 Gen 2 i5-1135G7 8GB DDR4 256GB SSD 14″ FHD Win 10 Pro
Aumentar cantidad para Lenovo ThinkPad L14 Gen 2 i5-1135G7 8GB DDR4 256GB SSD 14″ FHD Win 10 Pro
Agregar al carrito
Comprar Ahora
Recomendados
© Copyright,
Opcstore
, 2026
Tecnología de Shopify
Quick links
NOSOTROS
CONTACTO
TERMINOS Y CONDICIONES
MICROSOFT WINDOWS 11
MICROSOFT OFFICE 2024
MICROSOFT 365
Contacto
Lu a Vi de 09:00 a 13:00 y 14:30 a 18:00 hrs. /
65 248 4635 / +56 9 74996339 / Email:contacto@opcstore.cl
Contactanos
Tu correo electrónico
Suscribirse
Política de reembolso
Política de privacidad
Términos del servicio
Política de envío
Información de contacto
Habla con nosotros",256GB,929.99,8,Otras Especificaciones,Lenovo_Otras Especificaciones_Lenovo ThinkPad L14 Gen 2 i5-1135G7 8GB DDR4 256GB SSD 14″ FHD Win 10 Pro,1
"Lenovo ThinkBook 14 G2 ITL i5-1135G7 8GB DDR4 512GB SSD 14"" FHD Win 11 Pro",opcstore.cl,Lenovo,8GB,"Ir directamente al contenido
Lu a Vi de 09:00 a 13:00 y 14:30 a 18:00 hrs. / Fono: 65 248 4635 / Whatsapp: +56 9 74996339 / Email:contacto@opcstore.cl
Comprar
Búsqueda
TIENDA
NOTEBOOKS
ALL IN ONE
Modo oscuro
Off
Carrito
TIENDA
NOTEBOOKS
ALL IN ONE
DESKTOP
MONITORES
REACONDICIONADOS
TABLETS
OUTLET
PROMOCIONES
OPEN BOX
ACCESORIOS
SERVIDORES
Contáctanos al
+56 9 74996339
Abrir elemento multimedia 1 en vista de galería
Descripción
DESCRIPCIÓN Y ESPECIFICACIONES
El Lenovo ThinkBook 14 G2 ITL (P/N 20VD01CBCL) es un portátil pensado para profesionales y pymes que necesitan un equipo equilibrado entre rendimiento, movilidad y conectividad. Su procesador Intel Core i5-1135G7 combinado con 512 GB SSD PCIe ofrece arranques rápidos y buena capacidad de respuesta en tareas de oficina, navegación, videoconferencias y trabajo con documentos pesados.
La memoria 8 GB DDR4-3200 (1×8 GB) permite una experiencia fluida en uso cotidiano; el almacenamiento SSD aporta velocidad y fiabilidad para aplicaciones y archivos. La pantalla 14"" Full HD proporciona buena nitidez para trabajar con hojas de cálculo, presentaciones y contenido multimedia.
En conectividad destaca su completo set de puertos: Ethernet RJ-45 para conexión cableada estable, 2× USB-C Full Function (USB+DP+PD) para carga y salida de vídeo, puertos USB-A de alta velocidad (incluye Always-On USB para carga), HDMI y lector 4-in-1. Para reuniones y teletrabajo integra cámara 720p HD con ThinkShutter y audio optimizado; la conectividad inalámbrica incluye Wi-Fi 802.11ac 2×2 y Bluetooth 5.1.
Viene con Windows 11 Pro 64 bits y 6 Meses de garantía, lo que lo hace adecuado para despliegues empresariales y usuarios que requieren soporte local. En resumen: un equipo versátil, bien equipado en puertos y con rendimiento sólido para el trabajo diario.
        Característica Descripción
Part Number 20VD01CBCL
Modelo Lenovo ThinkBook 14 G2 ITL
Procesador Intel® Core™ i5-1135G7
Memoria RAM 8 GB DDR4-3200 (1 × 8 GB)
Almacenamiento 512 GB SSD M.2 PCIe
Pantalla 14.0″ Full HD (1920 × 1080)
Gráficos Intel® UHD Graphics (integrados)
Cámara 720p HD con ThinkShutter
Conectividad inalámbrica Wi-Fi 802.11ac 2×2 • Bluetooth 5.1
Conectividad cableada Ethernet RJ-45 Gigabit
Puertos 2 × USB-C 3.2 Gen2 Full Function (USB+DP+PD) • 1 × USB-A Always-On (USB 3.2 Gen2) • 1 × USB-A (USB 3.2 Gen2) • HDMI • Combo Headphone/Mic • Power button
Lector de tarjetas 4-in-1 Media Card Reader (SD, MMC, SDHC, SDXC)
Audio Altavoces integrados • Micrófono integrado
Sistema operativo Windows 11 Pro 64 bits
Garantía 6 Meses
    OPCStore
Lenovo ThinkBook 14 G2 ITL i5-1135G7 8GB DDR4 512GB SSD 14"" FHD Win 11 Pro
Precio de venta
$929.990
Precio habitual
$1.369.990
Envío calculado al finalizar la compra.
Para mayor información contáctanos al  Whatsapp: +56974996339 y al correo electrónico: contacto@opcstore.cl
Cantidad:
Reducir cantidad para Lenovo ThinkBook 14 G2 ITL i5-1135G7 8GB DDR4 512GB SSD 14&quot; FHD Win 11 Pro
Aumentar cantidad para Lenovo ThinkBook 14 G2 ITL i5-1135G7 8GB DDR4 512GB SSD 14&quot; FHD Win 11 Pro
Agregar al carrito
Comprar Ahora
Envío en 48 Horas
A través de Chilexpress.
Atención personalizada segun tus necesidades
Lu a Vi de 09:00 a 13:00 y 14:30 a 18:00 Hrs.
Calidad asegurada
Contamos con un catalogo amplio para desarrollar tus proyectos.
Garantía y Confianza
Todos nuestros productos cuentan con garantía oficial para que compres con total seguridad y respaldo.
Lo mejor de OpcStore
Revisa Aquí
Lenovo ThinkBook 14 G2 ITL i5-1135G7 8GB DDR4 512GB SSD 14"" FHD Win 11 Pro
Precio de venta
$929.990
Precio habitual
$1.369.990
Envío calculado al finalizar la compra.
Cantidad:
Reducir cantidad para Lenovo ThinkBook 14 G2 ITL i5-1135G7 8GB DDR4 512GB SSD 14&quot; FHD Win 11 Pro
Aumentar cantidad para Lenovo ThinkBook 14 G2 ITL i5-1135G7 8GB DDR4 512GB SSD 14&quot; FHD Win 11 Pro
Agregar al carrito
Comprar Ahora
Recomendados
© Copyright,
Opcstore
, 2026
Tecnología de Shopify
Quick links
NOSOTROS
CONTACTO
TERMINOS Y CONDICIONES
MICROSOFT WINDOWS 11
MICROSOFT OFFICE 2024
MICROSOFT 365
Contacto
Lu a Vi de 09:00 a 13:00 y 14:30 a 18:00 hrs. /
65 248 4635 / +56 9 74996339 / Email:contacto@opcstore.cl
Contactanos
Tu correo electrónico
Suscribirse
Política de reembolso
Política de privacidad
Términos del servicio
Política de envío
Información de contacto
Habla con nosotros",512GB,929.99,8,Gama Media / Estándar,"Lenovo_Gama Media / Estándar_Lenovo ThinkBook 14 G2 ITL i5-1135G7 8GB DDR4 512GB SSD 14"" FHD Win 11 Pro",1
"Notebook Lenovo 14w AMD A6-9220C 4GB RAM 128GB SSD 14"" FHD Win 10 Pro",opcstore.cl,Lenovo,4GB,"Ir directamente al contenido
Lu a Vi de 09:00 a 13:00 y 14:30 a 18:00 hrs. / Fono: 65 248 4635 / Whatsapp: +56 9 74996339 / Email:contacto@opcstore.cl
Comprar
Búsqueda
TIENDA
NOTEBOOKS
ALL IN ONE
Modo oscuro
Off
Carrito
TIENDA
NOTEBOOKS
ALL IN ONE
DESKTOP
MONITORES
REACONDICIONADOS
TABLETS
OUTLET
PROMOCIONES
OPEN BOX
ACCESORIOS
SERVIDORES
Contáctanos al
+56 9 74996339
Abrir elemento multimedia 1 en vista de galería
Descripción
DESCRIPCIÓN Y ESPECIFICACIONES
El Lenovo 14w es un portátil diseñado para ofrecer eficiencia y portabilidad, ideal para estudiantes y profesionales que requieren un equipo confiable para tareas cotidianas. Equipado con un procesador AMD A6-9220C de séptima generación, este notebook proporciona un rendimiento adecuado para aplicaciones de oficina, navegación web y consumo multimedia. 
La memoria RAM de 4 GB LPDDR4 asegura una experiencia de usuario fluida en tareas multitarea básicas. Además, el almacenamiento SSD de 128 GB M.2 permite un arranque rápido del sistema operativo y tiempos de carga reducidos para las aplicaciones, mejorando la productividad diaria.
Su pantalla de 14 pulgadas con resolución Full HD (1920 x 1080) ofrece imágenes claras y detalladas, ideal para trabajar en documentos, presentaciones y disfrutar de contenido multimedia. El diseño compacto y ligero del Lenovo 14w, con un peso de aproximadamente 1.54 kg, facilita su transporte, siendo una excelente opción para quienes están en constante movimiento.
Este modelo viene preinstalado con Windows 10 Pro, brindando herramientas avanzadas de seguridad y productividad, adecuadas tanto para entornos educativos como empresariales. La batería de 3 celdas y 57 Wh ofrece una autonomía prolongada, permitiendo su uso durante jornadas completas sin necesidad de recarga constante.
  Especificación Detalle
Modelo Lenovo 14w
Número de Parte 81MQ00AGCL
Procesador AMD A6-9220C (2 núcleos, 1.8 GHz base, hasta 2.7 GHz en turbo)
Memoria RAM 4 GB LPDDR4X a 1866 MHz (soldada)
Almacenamiento SSD de 128 GB M.2
Pantalla 14"" Full HD (1920 x 1080), antirreflejo, 220 nits
Gráficos AMD Radeon R5 integrados
Conectividad Inalámbrica Wi-Fi 5 (802.11ac), Bluetooth 4.2
Puertos 1 x USB-C 3.1 Gen 1 (con soporte para DisplayPort y Power Delivery)<br>- 2 x USB 3.1 Gen 1<br>- 1 x HDMI 1.4<br>- 1 x Lector de tarjetas microSD<br>- 1 x Combo de auriculares/micrófono
Cámara HD 720p con micrófono integrado
Audio Altavoces estéreo, micrófono dual
Teclado Resistente a salpicaduras, sin retroiluminación
Batería 3 celdas, 57 Wh, hasta 12 horas de autonomía
Adaptador de Corriente 45W USB-C
Sistema Operativo Windows 10 Pro
Dimensiones (An x Pr x Al) 328 x 225 x 17.7 mm
Peso 1.54 kg
Color Gris mineral
Garantía 6 Meses
    OPCStore
Notebook Lenovo 14w AMD A6-9220C 4GB RAM 128GB SSD 14"" FHD Win 10 Pro
Precio de venta
$469.990
Precio habitual
$539.990
Envío calculado al finalizar la compra.
Para mayor información contáctanos al  Whatsapp: +56974996339 y al correo electrónico: contacto@opcstore.cl
Cantidad:
Reducir cantidad para Notebook Lenovo 14w AMD A6-9220C 4GB RAM 128GB SSD 14&quot; FHD Win 10 Pro
Aumentar cantidad para Notebook Lenovo 14w AMD A6-9220C 4GB RAM 128GB SSD 14&quot; FHD Win 10 Pro
Agregar al carrito
Comprar Ahora
Envío en 48 Horas
A través de Chilexpress.
Atención personalizada segun tus necesidades
Lu a Vi de 09:00 a 13:00 y 14:30 a 18:00 Hrs.
Calidad asegurada
Contamos con un catalogo amplio para desarrollar tus proyectos.
Garantía y Confianza
Todos nuestros productos cuentan con garantía oficial para que compres con total seguridad y respaldo.
Lo mejor de OpcStore
Revisa Aquí
Notebook Lenovo 14w AMD A6-9220C 4GB RAM 128GB SSD 14"" FHD Win 10 Pro
Precio de venta
$469.990
Precio habitual
$539.990
Envío calculado al finalizar la compra.
Cantidad:
Reducir cantidad para Notebook Lenovo 14w AMD A6-9220C 4GB RAM 128GB SSD 14&quot; FHD Win 10 Pro
Aumentar cantidad para Notebook Lenovo 14w AMD A6-9220C 4GB RAM 128GB SSD 14&quot; FHD Win 10 Pro
Agregar al carrito
Comprar Ahora
Recomendados
© Copyright,
Opcstore
, 2026
Tecnología de Shopify
Quick links
NOSOTROS
CONTACTO
TERMINOS Y CONDICIONES
MICROSOFT WINDOWS 11
MICROSOFT OFFICE 2024
MICROSOFT 365
Contacto
Lu a Vi de 09:00 a 13:00 y 14:30 a 18:00 hrs. /
65 248 4635 / +56 9 74996339 / Email:contacto@opcstore.cl
Contactanos
Tu correo electrónico
Suscribirse
Política de reembolso
Política de privacidad
Términos del servicio
Política de envío
Información de contacto
Habla con nosotros",128GB,469.99,4,Otras Especificaciones,"Lenovo_Otras Especificaciones_Notebook Lenovo 14w AMD A6-9220C 4GB RAM 128GB SSD 14"" FHD Win 10 Pro",1
"HP ProBook 440 G6 Intel i7-8565U 8GB RAM 1 TB HDD 14"" HD Win 10 Pro",opcstore.cl,Hp,8GB,Intel i7-8565U,1 TB,899.99,8,Otras Especificaciones,"Hp_Otras Especificaciones_HP ProBook 440 G6 Intel i7-8565U 8GB RAM 1 TB HDD 14"" HD Win 10 Pro",0
"Dell Inspiron 14 5440 i5-1334U 8GB DDR5 512GB SSD 14"" FHDWi-Fi 6 HDMI + USB-C + USB-A Lector SD / Win 11 Pro",opcstore.cl,Dell,8GB,"Ir directamente al contenido
Lu a Vi de 09:00 a 13:00 y 14:30 a 18:00 hrs. / Fono: 65 248 4635 / Whatsapp: +56 9 74996339 / Email:contacto@opcstore.cl
Comprar
Búsqueda
TIENDA
NOTEBOOKS
ALL IN ONE
Modo oscuro
Off
Carrito
TIENDA
NOTEBOOKS
ALL IN ONE
DESKTOP
MONITORES
REACONDICIONADOS
TABLETS
OUTLET
PROMOCIONES
OPEN BOX
ACCESORIOS
SERVIDORES
Contáctanos al
+56 9 74996339
Abrir elemento multimedia 1 en vista de galería
Descripción
DESCRIPCIÓN Y ESPECIFICACIONES
El Dell Inspiron 14 5440 (P/N KCV5H) está pensado para quienes necesitan movilidad y productividad sin complicaciones. El Intel Core i5-1334U de 13.ª generación, junto con 8 GB de memoria DDR5 y un SSD NVMe de 512 GB, brinda arranques en segundos, apertura ágil de aplicaciones y multitarea fluida en ofimática, videollamadas y navegación con varias pestañas. La pantalla de 14"" FHD+ (1920×1200, 16:10) antirreflejo ofrece más alto útil que el 16:9 tradicional, lo que se traduce en más líneas visibles para documentos, correo y hojas de cálculo.
Para conectarte y expandirte sin dongles, cuenta con Wi-Fi 6 y un set de puertos equilibrado y actual: USB-C, 2× USB-A, HDMI 1.4, audio 3,5 mm y lector de tarjetas SD para transferir fotos o material de trabajo con facilidad. Con 1,54 kg y 19,9 mm de grosor, es fácil de transportar entre oficina, hogar y reuniones; la batería de 41 Wh entrega la autonomía necesaria para una jornada típica enfocada en productividad. Llega con Windows 11 Pro, listo para integrarse a entornos corporativos (dominio/Active Directory, BitLocker y políticas de grupo) y con garantía de 1 año, ideal para trabajo híbrido, educación, ventas y pymes.
  Característica Detalle
Part Number KCV5H. 
Modelo Inspiron 14 5440 (serie 5000).
Procesador Intel Core i5-1334U (10 núcleos, hasta 4.6 GHz). 
Memoria RAM 8 GB DDR5 (SO-DIMM). 
Almacenamiento 512 GB SSD NVMe (M.2 2230, PCIe 4.0). 
Pantalla 14"" FHD+ 1920×1200 (16:10) WVA, antirreflejo.
Gráficos Intel UHD Graphics (integrados).
Conectividad inalámbrica Wi-Fi 6 (802.11ax) + Bluetooth 5.3. 
Puertos 1× USB-C (USB 3.2 Gen1) · 2× USB-A (USB 3.2 Gen1) · 1× HDMI 1.4 · audio 3,5 mm · lector SD. 
Batería 3 celdas, 41 Wh. 
Dimensiones 314 × 226 × 19,9 mm. 
Peso 1,54 kg. 
Color Azul (Ice Blue). 
Sistema operativo Windows 11 Pro. 
Garantía 1 año 
  OPCStore
Dell Inspiron 14 5440 i5-1334U 8GB DDR5 512GB SSD 14"" FHDWi-Fi 6 HDMI + USB-C + USB-A Lector SD / Win 11 Pro
Precio de venta
$849.990
Precio habitual
$1.199.990
Envío calculado al finalizar la compra.
Para mayor información contáctanos al  Whatsapp: +56974996339 y al correo electrónico: contacto@opcstore.cl
Cantidad:
Reducir cantidad para Dell Inspiron 14 5440 i5-1334U 8GB DDR5 512GB SSD 14&quot; FHDWi-Fi 6 HDMI + USB-C + USB-A Lector SD / Win 11 Pro
Aumentar cantidad para Dell Inspiron 14 5440 i5-1334U 8GB DDR5 512GB SSD 14&quot; FHDWi-Fi 6 HDMI + USB-C + USB-A Lector SD / Win 11 Pro
Agregar al carrito
Comprar Ahora
Envío en 48 Horas
A través de Chilexpress.
Atención personalizada segun tus necesidades
Lu a Vi de 09:00 a 13:00 y 14:30 a 18:00 Hrs.
Calidad asegurada
Contamos con un catalogo amplio para desarrollar tus proyectos.
Garantía y Confianza
Todos nuestros productos cuentan con garantía oficial para que compres con total seguridad y respaldo.
Lo mejor de OpcStore
Revisa Aquí
Dell Inspiron 14 5440 i5-1334U 8GB DDR5 512GB SSD 14"" FHDWi-Fi 6 HDMI + USB-C + USB-A Lector SD / Win 11 Pro
Precio de venta
$849.990
Precio habitual
$1.199.990
Envío calculado al finalizar la compra.
Cantidad:
Reducir cantidad para Dell Inspiron 14 5440 i5-1334U 8GB DDR5 512GB SSD 14&quot; FHDWi-Fi 6 HDMI + USB-C + USB-A Lector SD / Win 11 Pro
Aumentar cantidad para Dell Inspiron 14 5440 i5-1334U 8GB DDR5 512GB SSD 14&quot; FHDWi-Fi 6 HDMI + USB-C + USB-A Lector SD / Win 11 Pro
Agregar al carrito
Comprar Ahora
Recomendados
© Copyright,
Opcstore
, 2026
Tecnología de Shopify
Quick links
NOSOTROS
CONTACTO
TERMINOS Y CONDICIONES
MICROSOFT WINDOWS 11
MICROSOFT OFFICE 2024
MICROSOFT 365
Contacto
Lu a Vi de 09:00 a 13:00 y 14:30 a 18:00 hrs. /
65 248 4635 / +56 9 74996339 / Email:contacto@opcstore.cl
Contactanos
Tu correo electrónico
Suscribirse
Política de reembolso
Política de privacidad
Términos del servicio
Política de envío
Información de contacto
Habla con nosotros",512GB,849.99,8,Gama Media / Estándar,"Dell_Gama Media / Estándar_Dell Inspiron 14 5440 i5-1334U 8GB DDR5 512GB SSD 14"" FHDWi-Fi 6 HDMI + USB-C + USB-A Lector SD / Win 11 Pro",3
"Lenovo ThinkBook 14 iIL i5-1035G1 8GB DDR4 256GB SSD 14"" FHD Win 10 Pro",opcstore.cl,Lenovo,8GB,"Ir directamente al contenido
Lu a Vi de 09:00 a 13:00 y 14:30 a 18:00 hrs. / Fono: 65 248 4635 / Whatsapp: +56 9 74996339 / Email:contacto@opcstore.cl
Comprar
Búsqueda
TIENDA
NOTEBOOKS
ALL IN ONE
Modo oscuro
Off
Carrito
TIENDA
NOTEBOOKS
ALL IN ONE
DESKTOP
MONITORES
REACONDICIONADOS
TABLETS
OUTLET
PROMOCIONES
OPEN BOX
ACCESORIOS
SERVIDORES
Contáctanos al
+56 9 74996339
Abrir elemento multimedia 1 en vista de galería
Descripción
DESCRIPCIÓN Y ESPECIFICACIONES
El Lenovo ThinkBook 14 iIL (P/N 20SL00VRCL) es un portátil orientado a profesionales y pymes que buscan un equipo equilibrado en rendimiento, conectividad y portabilidad. Monta un Intel Core i5-1035G1 junto a 8 GB DDR4 y un SSD NVMe M.2 256 GB, combinación que ofrece arranques rápidos, buena respuesta en ofimática, navegación y gestión documental, y tiempos de carga sensiblemente inferiores a equipos con disco mecánico.
Su pantalla 14"" Full HD (1920 × 1080) proporciona una visualización nítida y cómoda para jornadas de trabajo; la cámara 720p y los micrófonos integrados facilitan videoconferencias fluidas. En materia de conectividad incluye Wi-Fi, Bluetooth, Ethernet (RJ-45) y un conjunto completo de puertos (USB-A, USB-C), además de lector de huellas digital para acceso seguro y rápido.
Con un peso aproximado de 1,5 kg y Windows 10 Pro 64-bits preinstalado, este ThinkBook resulta una opción práctica para usuarios móviles y entornos corporativos que valoran seguridad, gestión sencilla y buen rendimiento a un precio competitivo. Se entrega con 6 Meses de garantía.
  Característica Descripción
Part Number 20SL00VRCL
Modelo Lenovo ThinkBook 14 iIL
Procesador Intel® Core™ i5-1035G1
Memoria RAM 8 GB DDR4
Almacenamiento 256 GB SSD M.2 2242 PCIe NVMe
Pantalla 14″ Full HD (1920 × 1080)
Cámara 720p HD
Gráficos Intel® UHD Graphics (integrados)
Conectividad inalámbrica Wi-Fi, Bluetooth
Conectividad cableada Ethernet RJ-45
Puertos 1 × USB 2.0 • 2 × USB 3.1 Gen1 • 1 × USB-C 3.1 Gen1 • 1 × USB-C Gen2 • Combo audio (jack)
Seguridad Lector de huellas digital
Peso ≈ 1.5 kg
Sistema operativo Windows 10 Pro 64 bits
Garantía 6 Meses
    OPCStore
Lenovo ThinkBook 14 iIL i5-1035G1 8GB DDR4 256GB SSD 14"" FHD Win 10 Pro
Precio de venta
$919.990
Precio habitual
$1.239.990
Envío calculado al finalizar la compra.
Para mayor información contáctanos al  Whatsapp: +56974996339 y al correo electrónico: contacto@opcstore.cl
Cantidad:
Reducir cantidad para Lenovo ThinkBook 14 iIL i5-1035G1 8GB DDR4 256GB SSD 14&quot; FHD Win 10 Pro
Aumentar cantidad para Lenovo ThinkBook 14 iIL i5-1035G1 8GB DDR4 256GB SSD 14&quot; FHD Win 10 Pro
Agregar al carrito
Comprar Ahora
Envío en 48 Horas
A través de Chilexpress.
Atención personalizada segun tus necesidades
Lu a Vi de 09:00 a 13:00 y 14:30 a 18:00 Hrs.
Calidad asegurada
Contamos con un catalogo amplio para desarrollar tus proyectos.
Garantía y Confianza
Todos nuestros productos cuentan con garantía oficial para que compres con total seguridad y respaldo.
Lo mejor de OpcStore
Revisa Aquí
Lenovo ThinkBook 14 iIL i5-1035G1 8GB DDR4 256GB SSD 14"" FHD Win 10 Pro
Precio de venta
$919.990
Precio habitual
$1.239.990
Envío calculado al finalizar la compra.
Cantidad:
Reducir cantidad para Lenovo ThinkBook 14 iIL i5-1035G1 8GB DDR4 256GB SSD 14&quot; FHD Win 10 Pro
Aumentar cantidad para Lenovo ThinkBook 14 iIL i5-1035G1 8GB DDR4 256GB SSD 14&quot; FHD Win 10 Pro
Agregar al carrito
Comprar Ahora
Recomendados
© Copyright,
Opcstore
, 2026
Tecnología de Shopify
Quick links
NOSOTROS
CONTACTO
TERMINOS Y CONDICIONES
MICROSOFT WINDOWS 11
MICROSOFT OFFICE 2024
MICROSOFT 365
Contacto
Lu a Vi de 09:00 a 13:00 y 14:30 a 18:00 hrs. /
65 248 4635 / +56 9 74996339 / Email:contacto@opcstore.cl
Contactanos
Tu correo electrónico
Suscribirse
Política de reembolso
Política de privacidad
Términos del servicio
Política de envío
Información de contacto
Habla con nosotros",256GB,919.99,8,Gama Media / Estándar,"Lenovo_Gama Media / Estándar_Lenovo ThinkBook 14 iIL i5-1035G1 8GB DDR4 256GB SSD 14"" FHD Win 10 Pro",1
"Notebook gamer Aspire Lite AL15-72P-79W5-1 15.6"" Core I7 16gb 512gb Ssd color Gris",Mercado Libre,Acer,16gb,Intel Core i7 13620H,512gb,879.99,16,Gama Alta / Productividad,"Acer_Gama Alta / Productividad_Notebook gamer Aspire Lite AL15-72P-79W5-1 15.6"" Core I7 16gb 512gb Ssd color Gris",5
"Apple 2026 Macbook Neo (de 13 Pulgadas, Chip A18 Pro De Apple Con Cpu De 6 Núcleos Y Gpu De 5 Núcleos, 8gb Memoria Unificada, 512 gb) - Amarillo Cítrico - Distribuidor Autorizado",Mercado Libre,Apple,8gb,Apple A18 Pro,512 GB,749.99,8,Otras Especificaciones,"Apple_Otras Especificaciones_Apple 2026 Macbook Neo (de 13 Pulgadas, Chip A18 Pro De Apple Con Cpu De 6 Núcleos Y Gpu De 5 Núcleos, 8gb Memoria Unificada, 512 gb) - Amarillo Cítrico - Distribuidor Autorizado",4
"Notebook Vivobook Go 14 E140 AMD Ryzen 5 8gb 512gb SSD 14"" Asus",Mercado Libre,Asus,8gb,Ryzen 5,512gb,539.55,8,Gama Media / Estándar,"Asus_Gama Media / Estándar_Notebook Vivobook Go 14 E140 AMD Ryzen 5 8gb 512gb SSD 14"" Asus",2
Notebook Hp 245 G10 Amd Ryzen 3 8gb Ram 256gb Ssd Window 11 Home,Mercado Libre,Hp,8gb,Ryzen 3,256gb,479.99,8,Gama Entrada / Oficina,Hp_Gama Entrada / Oficina_Notebook Hp 245 G10 Amd Ryzen 3 8gb Ram 256gb Ssd Window 11 Home,0
"Notebook Samsung Galaxy Book4 15,6 I7 512gb Ssd 16gb Ram Color Plateado",Mercado Libre,Samsung,16gb,Intel Core i7 1355U,512gb,999.99,16,Gama Alta / Productividad,"Samsung_Gama Alta / Productividad_Notebook Samsung Galaxy Book4 15,6 I7 512gb Ssd 16gb Ram Color Plateado",12
